agegrp,year,sex,outcome
6,2000,1,4626
6,2000,2,4625
6,2001,1,4782
6,2001,2,4757
6,2002,1,4676
6,2002,2,4669
6,2003,1,4486
6,2003,2,4368
6,2004,1,4481
6,2004,2,4299
6,2005,1,4544
6,2005,2,4417
6,2006,1,4635
6,2006,2,4491
6,2007,1,4907
6,2007,2,4898
6,2008,1,4994
6,2008,2,4876
6,2009,1,5072
6,2009,2,4943
6,2010,1,5000
6,2010,2,4796
6,2011,1,4889
6,2011,2,4740
6,2012,1,4642
6,2012,2,4464
6,2013,1,4331
6,2013,2,4159
6,2014,1,3906
6,2014,2,3785
7,2000,1,4949
7,2000,2,4770
7,2001,1,5082
7,2001,2,5053
7,2002,1,5164
7,2002,2,5044
7,2003,1,5067
7,2003,2,5033
7,2004,1,4921
7,2004,2,4827
7,2005,1,4702
7,2005,2,4732
7,2006,1,4523
7,2006,2,4483
7,2007,1,4626
7,2007,2,4477
7,2008,1,4492
7,2008,2,4329
7,2009,1,4464
7,2009,2,4360
7,2010,1,4649
7,2010,2,4554
7,2011,1,4765
7,2011,2,4561
7,2012,1,4777
7,2012,2,4662
7,2013,1,4744
7,2013,2,4640
7,2014,1,4598
7,2014,2,4554
8,2000,1,4921
8,2000,2,4813
8,2001,1,5219
8,2001,2,5046
8,2002,1,5180
8,2002,2,5141
8,2003,1,5190
8,2003,2,5139
8,2004,1,5085
8,2004,2,5086
8,2005,1,5015
8,2005,2,4905
8,2006,1,4932
8,2006,2,4865
8,2007,1,5095
8,2007,2,4937
8,2008,1,4950
8,2008,2,4860
8,2009,1,4828
8,2009,2,4633
8,2010,1,4637
8,2010,2,4591
8,2011,1,4444
8,2011,2,4435
8,2012,1,4301
8,2012,2,4214
8,2013,1,4113
8,2013,2,3974
8,2014,1,3953
8,2014,2,3816
9,2000,1,4145
9,2000,2,4216
9,2001,1,4621
9,2001,2,4703
9,2002,1,4736
9,2002,2,4757
9,2003,1,4632
9,2003,2,4647
9,2004,1,4616
9,2004,2,4568
9,2005,1,4594
9,2005,2,4521
9,2006,1,4591
9,2006,2,4456
9,2007,1,4616
9,2007,2,4610
9,2008,1,4623
9,2008,2,4638
9,2009,1,4617
9,2009,2,4579
9,2010,1,4594
9,2010,2,4432
9,2011,1,4553
9,2011,2,4350
9,2012,1,4422
9,2012,2,4179
9,2013,1,4205
9,2013,2,4040
9,2014,1,4011
9,2014,2,3854
10,2000,1,2315
10,2000,2,2824
10,2001,1,2543
10,2001,2,3085
10,2002,1,2573
10,2002,2,3196
10,2003,1,2647
10,2003,2,3217
10,2004,1,2657
10,2004,2,3325
10,2005,1,2745
10,2005,2,3392
10,2006,1,2779
10,2006,2,3411
10,2007,1,2886
10,2007,2,3486
10,2008,1,2905
10,2008,2,3399
10,2009,1,2980
10,2009,2,3492
10,2010,1,3050
10,2010,2,3432
10,2011,1,3137
10,2011,2,3457
10,2012,1,2989
10,2012,2,3235
10,2013,1,2845
10,2013,2,3080
10,2014,1,2731
10,2014,2,2877
11,2000,1,1627
11,2000,2,2259
11,2001,1,1808
11,2001,2,2602
11,2002,1,1756
11,2002,2,2635
11,2003,1,1650
11,2003,2,2416
11,2004,1,1612
11,2004,2,2334
11,2005,1,1597
11,2005,2,2261
11,2006,1,1542
11,2006,2,2232
11,2007,1,1673
11,2007,2,2350
11,2008,1,1779
11,2008,2,2559
11,2009,1,1937
11,2009,2,2741
11,2010,1,2114
11,2010,2,2895
11,2011,1,2265
11,2011,2,2931
11,2012,1,2257
11,2012,2,2795
11,2013,1,2202
11,2013,2,2681
11,2014,1,2163
11,2014,2,2678
12,2000,1,1322
12,2000,2,1956
12,2001,1,1393
12,2001,2,2089
12,2002,1,1407
12,2002,2,2136
12,2003,1,1334
12,2003,2,2031
12,2004,1,1251
12,2004,2,1949
12,2005,1,1231
12,2005,2,1895
12,2006,1,1239
12,2006,2,1975
12,2007,1,1355
12,2007,2,2129
12,2008,1,1349
12,2008,2,2062
12,2009,1,1418
12,2009,2,2090
12,2010,1,1524
12,2010,2,2143
12,2011,1,1504
12,2011,2,2078
12,2012,1,1569
12,2012,2,2090
12,2013,1,1622
12,2013,2,2173
12,2014,1,1617
12,2014,2,2210
13,2000,1,1201
13,2000,2,1895
13,2001,1,1202
13,2001,2,1920
13,2002,1,1178
13,2002,2,1885
13,2003,1,1089
13,2003,2,1765
13,2004,1,1075
13,2004,2,1750
13,2005,1,1087
13,2005,2,1748
13,2006,1,1046
13,2006,2,1689
13,2007,1,1073
13,2007,2,1771
13,2008,1,1140
13,2008,2,1770
13,2009,1,1134
13,2009,2,1803
13,2010,1,1183
13,2010,2,1820
13,2011,1,1248
13,2011,2,1874
13,2012,1,1218
13,2012,2,1849
13,2013,1,1197
13,2013,2,1771
13,2014,1,1194
13,2014,2,1710
14,2000,1,1004
14,2000,2,1660
14,2001,1,1039
14,2001,2,1776
14,2002,1,995
14,2002,2,1819
14,2003,1,962
14,2003,2,1753
14,2004,1,969
14,2004,2,1725
14,2005,1,937
14,2005,2,1679
14,2006,1,908
14,2006,2,1597
14,2007,1,967
14,2007,2,1652
14,2008,1,920
14,2008,2,1609
14,2009,1,932
14,2009,2,1624
14,2010,1,949
14,2010,2,1596
14,2011,1,961
14,2011,2,1584
14,2012,1,944
14,2012,2,1559
14,2013,1,957
14,2013,2,1565
14,2014,1,904
14,2014,2,1511
15,2000,1,797
15,2000,2,1090
15,2001,1,813
15,2001,2,1180
15,2002,1,822
15,2002,2,1294
15,2003,1,834
15,2003,2,1387
15,2004,1,797
15,2004,2,1478
15,2005,1,777
15,2005,2,1545
15,2006,1,783
15,2006,2,1565
15,2007,1,786
15,2007,2,1627
15,2008,1,829
15,2008,2,1638
15,2009,1,822
15,2009,2,1616
15,2010,1,835
15,2010,2,1604
15,2011,1,820
15,2011,2,1560
15,2012,1,814
15,2012,2,1505
15,2013,1,745
15,2013,2,1403
15,2014,1,742
15,2014,2,1416
16,2000,1,605
16,2000,2,1067
16,2001,1,625
16,2001,2,1109
16,2002,1,629
16,2002,2,1119
16,2003,1,667
16,2003,2,1146
16,2004,1,658
16,2004,2,1111
16,2005,1,665
16,2005,2,1050
16,2006,1,649
16,2006,2,1103
16,2007,1,697
16,2007,2,1196
16,2008,1,693
16,2008,2,1288
16,2009,1,682
16,2009,2,1371
16,2010,1,694
16,2010,2,1457
16,2011,1,720
16,2011,2,1504
16,2012,1,699
16,2012,2,1508
16,2013,1,727
16,2013,2,1499
16,2014,1,700
16,2014,2,1426
17,2000,1,475
17,2000,2,849
17,2001,1,451
17,2001,2,780
17,2002,1,460
17,2002,2,768
17,2003,1,442
17,2003,2,764
17,2004,1,471
17,2004,2,875
17,2005,1,495
17,2005,2,994
17,2006,1,500
17,2006,2,999
17,2007,1,530
17,2007,2,1026
17,2008,1,576
17,2008,2,1049
17,2009,1,586
17,2009,2,1016
17,2010,1,566
17,2010,2,979
17,2011,1,576
17,2011,2,1031
17,2012,1,579
17,2012,2,1093
17,2013,1,568
17,2013,2,1152
17,2014,1,571
17,2014,2,1219
18,2000,1,428
18,2000,2,883
18,2001,1,455
18,2001,2,946
18,2002,1,462
18,2002,2,964
18,2003,1,469
18,2003,2,977
18,2004,1,446
18,2004,2,877
18,2005,1,415
18,2005,2,763
18,2006,1,386
18,2006,2,689
18,2007,1,385
18,2007,2,679
18,2008,1,362
18,2008,2,678
18,2009,1,404
18,2009,2,774
18,2010,1,428
18,2010,2,891
18,2011,1,448
18,2011,2,904
18,2012,1,456
18,2012,2,891
18,2013,1,483
18,2013,2,923
18,2014,1,486
18,2014,2,885
19,2000,1,316
19,2000,2,810
19,2001,1,282
19,2001,2,773
19,2002,1,295
19,2002,2,734
19,2003,1,285
19,2003,2,693
19,2004,1,300
19,2004,2,708
19,2005,1,341
19,2005,2,788
19,2006,1,372
19,2006,2,820
19,2007,1,381
19,2007,2,845
19,2008,1,400
19,2008,2,846
19,2009,1,376
19,2009,2,769
19,2010,1,333
19,2010,2,672
19,2011,1,329
19,2011,2,603
19,2012,1,318
19,2012,2,590
19,2013,1,298
19,2013,2,584
19,2014,1,325
19,2014,2,660
20,2000,1,342
20,2000,2,685
20,2001,1,333
20,2001,2,753
20,2002,1,300
20,2002,2,753
20,2003,1,282
20,2003,2,762
20,2004,1,254
20,2004,2,755
20,2005,1,214
20,2005,2,683
20,2006,1,197
20,2006,2,624
20,2007,1,200
20,2007,2,602
20,2008,1,187
20,2008,2,581
20,2009,1,206
20,2009,2,592
20,2010,1,242
20,2010,2,670
20,2011,1,253
20,2011,2,708
20,2012,1,266
20,2012,2,705
20,2013,1,272
20,2013,2,684
20,2014,1,247
20,2014,2,613
21,2000,1,145
21,2000,2,227
21,2001,1,148
21,2001,2,279
21,2002,1,161
21,2002,2,340
21,2003,1,187
21,2003,2,393
21,2004,1,202
21,2004,2,439
21,2005,1,219
21,2005,2,524
21,2006,1,219
21,2006,2,574
21,2007,1,200
21,2007,2,574
21,2008,1,197
21,2008,2,590
21,2009,1,164
21,2009,2,570
21,2010,1,144
21,2010,2,529
21,2011,1,125
21,2011,2,481
21,2012,1,126
21,2012,2,459
21,2013,1,111
21,2013,2,442
21,2014,1,126
21,2014,2,449
22,2000,1,87
22,2000,2,189
22,2001,1,97
22,2001,2,207
22,2002,1,103
22,2002,2,213
22,2003,1,80
22,2003,2,184
22,2004,1,87
22,2004,2,170
22,2005,1,80
22,2005,2,173
22,2006,1,82
22,2006,2,200
22,2007,1,90
22,2007,2,246
22,2008,1,118
22,2008,2,280
22,2009,1,120
22,2009,2,322
22,2010,1,123
22,2010,2,374
22,2011,1,123
22,2011,2,386
22,2012,1,117
22,2012,2,381
22,2013,1,120
22,2013,2,389
22,2014,1,100
22,2014,2,391
23,2000,1,65
23,2000,2,196
23,2001,1,63
23,2001,2,188
23,2002,1,53
23,2002,2,171
23,2003,1,49
23,2003,2,187
23,2004,1,55
23,2004,2,191
23,2005,1,66
23,2005,2,204
23,2006,1,72
23,2006,2,216
23,2007,1,75
23,2007,2,211
23,2008,1,63
23,2008,2,198
23,2009,1,71
23,2009,2,196
23,2010,1,80
23,2010,2,215
23,2011,1,91
23,2011,2,226
23,2012,1,84
23,2012,2,259
23,2013,1,85
23,2013,2,281
23,2014,1,90
23,2014,2,299
